INPUT,English,Portuguese
LBL_SEND_FACTORY_EMAIL,Send email to factory,enviar e-mail para fábrica.
MSG_MULTIPLE_EMAIL_RULE,More than one email configuration found,mais de uma configuração de email encontrada.
LBL_PO,PO Number,número do pedido
LBL_QUANTITY,Quantity,quantidade
LBL_BOOKING,Booking,reserva.
LBL_PRESENTED,Presented,apresentado.
LBL_INSPECTED,Inspected,"inspected significa ""inspecionado"" em português."
LBL_NO_DATA_FOUND,No Defect Found,sem defeito encontrado.
LBL_IR_DOWNLOAD,IR DOWNLOAD,fazer download
MSG_IC_PDF_GENERATION_ISSUE,Inspection Certificate is not generated for this report,o certificado de inspeção não é gerado para este relatório.
LBL_STYLE_NO,Style No,estilo nº
LBL_FACTORYREFERENCE_NO,Keycode/ Item Code/ Pre-Pack Article No.,código de tecla/ código do item/ número do artigo pré-embalado.
LBL_PRODUCT_CATEGORY,Product Category,categoria de produto
LBL_PSI_PROTOCOL_NO,Woolworth PSI Protocol No.,protocolo no. da woolworth psi traduzido para português.
LBL_PSI_PROTOCOL_VERSION,Woolworth PSI Protocol Version,versão do protocolo psi da woolworth.
LBL_TITLE,Custom Report,relatório personalizado.
LBL_TITLE_EMAIL,Email Notification,notificação por e-mail
LBL_TITLE_EMAIL_SEND,Email send Successfully,email enviado com sucesso.
LBL_EMAIL_NOT_SEND,Email not send,email não enviado.
LBL_UPLOAD_REPORT,Upload Report,relatório de upload.
LBL_UPLOAD,Save,salvar
LBL_EMAIL_RULE_ERROR,Email Rule is Missing,a regra de e-mail está faltando.
LBL_UPLOAD_CANCEL,Cancel,cancelar
MSG_REPORT_SAVE_SUCCESS,Report Saved Successfully,relatório salvo com sucesso.
MSG_REPORT_NOT_SAVE,Report Not Saved,relatório não salvo.
MSG_UNKNOWN_ERROR,Unknown Error,erro desconhecido
MSG_PLS_CHOOSE_FILE,Please choose the file,"por favor, escolha o arquivo."
LBL_CONFIRMCREATEREPORT,Overwrite FB Report ?,sobrescrever relatório fb
LBL_DATA_NOT_FOUND,Data Not Found,data não encontrada.
MSG_QUESTION_SURE,FB Report is already available.Are you sure you want to overwrite the existing report,o relatório do facebook já está disponível. tem certeza de que deseja substituir o relatório existente?
LBL_MSG_EMAIL_RULE,Email rule is missing,a regra de e-mail está faltando.
LBL_MSG_FILE_NOT_FOUND,Report File Not Found,arquivo de relatório não encontrado.
LBL_REPORT_NOT_SEND,IC E-Mail could not be sent,o e-mail ic não pôde ser enviado.
LBL_TITLE,Complaint Summary,resumo da reclamação.
MSG_DELETE_SUCCESS,Deletion Unsuccessful,remoção sem sucesso.
LBL_BOOKING_CUS_NO,Booking#/ Cus#,reserva #/cliente #
LBL_SERVICE,Service,serviço
LBL_COMPLAINT_TYPE,Complaint Type,tipo de reclamação
LBL_COMPLAINT_DATE,Complaint Date,data da reclamação
LBL_CREATED_BY,Created By,criado por.
LBL_CONFIRMDEL,"You're about to permanently delete this record. If you're not sure, cancel this instead.","você está prestes a excluir permanentemente este registro. se você não tem certeza, cancele esta ação."
LBL_RESPONSIBLE_TEAM,Responsible Team,time responsável.
LBL_VENDOR,Vendor,fornecedor
LBL_COMPLAINT_NO,Complaint#,reclamação#
LBL_PERSON_IN_CHARGE,Person In Charge,responsável.
LBL_NO_COMP_FOUND,No Complaint Found,nenhuma reclamação encontrada.
TITLE,Complaint,queixa.
LBL_BOOKING_DETAILS,Booking Details,detalhes da reserva
LBL_BOOKINGNO,Booking No,reserva nº
LBL_CUSTOMER,Customer,cliente
LBL_SUPPLIER,Supplier,fornecedor.
LBL_FACTORY,Factory,fábrica
LBL_COUNTRY,Country,país
LBL_DEPARTMENT,Department,departamento
LBL_SERVICEDATE, Service Date,data de serviço
LBL_SERVICETYPE,Service Type,tipo de serviço
LBL_FACTORY_COUNTRY,Factory Country,país da fábrica
LBL_OFFICE,Office,escritório
LBL_TOTAL_BOOKING_QTY,Total Booking Qty,quantidade total de reservas
LBL_PRODUCT,Product,produto
LBL_COMPLAINT_TYPE,Complaint Type,tipo de reclamação
LBL_SERVICE,Service,serviço
LBL_COMPLAINT_DATE,Complaint Date,data da reclamação
LBL_RECIPIENT_TYPE,Recipient Type,tipo de destinatário
LBL_PERSON_INCHARGE,Person In charge,pessoa responsável.
LBL_ADD_DETAIL,Add,adicionar
LBL_PRODUCTID,Product Id,identificação do produto.
LBL_PRODUCTDESCRIPTION,Description,descrição
LBL_CATEGORY,Category,categoria
LBL_TITLE,Title,título
LBL_COMP_DESCRIPTION,Complaint Description,descrição da reclamação.
LBL_CORRECTIVE_ACTION,Corrective Action,ação corretiva
LBL_ANSWER_DATE,Answer Date,data da resposta
LBL_REMARKS,Remarks,observações
LBL_SAVE,Save,salvar.
LBL_BOOKING_PRODUCTS,Booking Products,reserva de produtos.
LBL_PO,PO,"a tradução para português da sigla po é ""ordem de perfuração""."
LBL_BOOKING_QTY,Booking Qty,quantidade de reserva.
LBL_REMOVE_DETAIL,Remove Complaint Detail,remover detalhe da reclamação
MSG_CONFRMDELETE,Are you sure  you want to remove the complaint item ,você tem certeza de que deseja remover o item de reclamação?
MSG__ATLEAST_ONE_COMPLAINT_MANDATORY,one complaint mandatory,uma reclamação obrigatória
MSG_CANNOT_DELETE,Error: Cannot remove complaint,erro: não é possível remover a reclamação.
SAVE_RESULT,Save result,salvar resultado
SAVE_OK,Complaint is saved succefully!,a reclamação foi salva com sucesso!
MSG_SAVE_FAIL,Save not Successful,salvar não bem sucedido.
MSG_SAVE_APPROVED,Approve not Successful,aprovação não bem sucedida.
MSG_SAVE_REJECTED,Reject not Successful,rejeitar não é sucesso.
MSG_SAVE_CLOSED,Closed not Successful,fechado sem sucesso.
MSG_COMPLAINTTYPE_REQ,Complaint type is required,o tipo de reclamação é obrigatório.
MSG_SERVICETYPE_REQ,Service type is required,o tipo de serviço é necessário.
MSG_BOOKINGNO_REQ,Booking No is required,o número da reserva é necessário.
MSG_COMPLAINTDATE_REQ,Complaint date is required,a data da reclamação é obrigatória.
MSG_RECIPIENTTYPE_REQ,Recipient Type is required,o tipo de destinatário é obrigatório.
MSG_DEPARTMENT_REQ,Department is required,"""departamento é obrigatório"""
MSG_USER_REQ,User is required,usuário é obrigatório.
MSG_CUSTOMER_REQ,Customer is required,cliente é necessário.
MSG_CATEGORY_REQ,Category is required,a categoria é obrigatória.
MSG_NOTIFICATIONFAIL,"Saved successfully, email notification failed","salvo com sucesso, notificação por email falhou."
LBL_COMMENTS,Comments,comentários
LBL_SAVETYPE,Saved successfully,salvo com sucesso.
LBL_DUPLICATE_NAME,Duplicate type name found,tipo de nome duplicado encontrado
LBL_UNABLE_SAVE,"Error: Unable to save ,Enter valid name",erro: não foi possível salvar. insira um nome válido.
LBL_ADD_COMPLAIN,Add Complaint Type,adicionar tipo de reclamação.
LBL_COMPLAINT_INFO,Complaint Information,informação de reclamação.
LBL_RESPONSIBLE_TEAM,Responsible Team,time responsável
LBL_VENDOR,Vendor,fornecedor
LBL_COMPLAINT_DESC,Complaint Description,descrição da reclamação
LBL_COMPLAINT_REMARK,Complaint Remarks,observações da reclamação
MSG_CAN_COMPLAINT,Cancel the complaint ?,cancelar a reclamação.
MSG_CONFIRM_CANCEL,Are you sure you want to cancel the complaint ?,você tem certeza que deseja cancelar a reclamação?
MSG_ANALYZE_COMPLAINT,Approve the complaint ?,aprovar a reclamação
MSG_CONFIRM_ANALYZE_COMP,Are you sure you want to approve the complaint ?,você tem certeza de que deseja aprovar a reclamação?
MSG_REJET_COMPLAINT,Reject the complaint?,rejeitar a reclamação.
MSG_CONFIRM_REJECT_COMP,Are you sure you want to reject the complaint ?,você tem certeza de que deseja rejeitar a reclamação?
MSG_CLOSE_COMPLAINT,Close the complaint ?,fechar a reclamação.
MSG_CONFIRM_CLOSE_COMP,Are you sure you want to Close the complaint ?,você tem certeza de que deseja fechar a reclamação?
MSG_CLOSE_SUCCESS,Complaint closed successfully,reclamação fechada com sucesso.
MSG_REJECT_SUUCESS,Complaint rejected successfully,reclamação rejeitada com sucesso.
MSG_APPROVE_SUCCESS,Complaint approved successfully,reclamação aprovada com sucesso.
MSG_CANCEL_SUCCESS,Complaint cancelled successfully,reclamação cancelada com sucesso.
MSG_COMPLAINT_TYPE_REQ,Complaint type is required,o tipo de reclamação é obrigatório.
MSG_COMP_DESC_REQ,Complaint description is required,a descrição da reclamação é obrigatória.
MSG_COMP_REMARK_REQ,Complaint remarks is required,observações da reclamação são obrigatórias.
MSG_CORRECTIVE_REQ,Corrective action is required,ação corretiva é necessária.
LBL_UP_DOCUMENT,Upload Document,carregar documento
LBL_FILE_CATEGORY,File Category,categoria de arquivo.
MSG_REMOVE_DOCUMENT,Remove Document ?,remover documento
MSG_CONFIRM_REMOVE_DOC,Are you sure you want to remove document ?,você tem certeza de que deseja remover o documento?
DEFAULT_ERR_MSG_FEATURE,Please select at least one feature,"por favor, selecione pelo menos uma funcionalidade."
LBL_TITLE,Create Package,criar pacote.
LBL_EDIT_TITLE,Edit Package,editar pacote
LBL_SUBSCRIPTION_NAME,Package name,nome do pacote.
LBL_SUBSCRIPTION_PLACEHOLDER,Enter package name,digite o nome do pacote.
LBL_ENTER_PRICE,Enter price,preço de entrada.
LBL_ENTER_DISCOUNT,Enter discount,inserir desconto
LBL_PRICE_PER_USER,Price per user,preço por usuário.
LBL_AVAILABLE_USER,Available users,usuários disponíveis.
LBL_SELECT_FEATURES,Applications,aplicações
LBL_SAVE,Save,salvar
LBL_FEATURES,Applications,aplicações.
LBL_YES,Yes,sim
LBL_NO,No,não.
LBL_ANNUAL_PRICE,Annual Price,preço anual
LBL_QUATERLY_PRICE,Quaterly Price,preço trimestral
LBL_MONTHLY_PRICE,Monthly Price,preço mensal
SAVE_RESULT,Save Result,salvar resultado
ERR_MSG_FEATURE,Please select at least one application,"por favor, selecione pelo menos um aplicativo."
MSG_UNKNONW_ERROR,Unknow error has occured,ocorreu um erro desconhecido.
SAVE_OK,Package is saved succesfully!,o pacote foi salvo com sucesso!
MSG_CANNOT_ADDSUBSCRIPTION,Cannot add package,não é possível adicionar pacote.
MSG_CURRENTSUB_NOTFOUND,Cannot find current package,não é possível encontrar o pacote atual.
MSG_SUBSCRIPTION_EXISTS,Cannot save package because it exists in database,não é possível salvar o pacote porque ele já existe no banco de dados.
LBL_DURATION,Duration,duração
LBL_DISCOUNT,Total Discount (%),desconto total (%)
LBL_DISCOUNT_USER,Discount for per user (%),desconto por usuário (%).
LBL_PRICE,Pricing,preços
LBL_TOTAL_PRICE,Total price,preço total
LBL_CURRENCY,Currency,moeda
LBL_PACKAGE_CODE,Package Code,código de pacote
LBL_TITLE,Subscription summary,resumo da assinatura.
LBL_ID,No.,número.
LBL_NAME,Name,nome.
LBL_START_DATE,Start Date,data de início
LBL_END_DATE,End Date,data final
LBL_USERS,Users,usuários
LBL_ACTION,Action,ação
LBL_VIEW,View,visualização
LBL_CURRENT,Current Plan,plano atual
LBL_ARCHIVE,Archive Plans,planos de arquivamento.
LBL_SEARCH,SEARCH,pesquisar
LBL_DROP_TENANT,Select Organization,selecionar organização
LBL_PACKAGE,Package Name,nome do pacote
LBL_DURATION,Duration,duração
LBL_ACTIVE,Active Subscription,assinatura ativa.
LBL_DATE,Subscription Date,data da assinatura.
LBL_SUBSCRIPTION_CODE,Subscription#,inscrição#
MSG_CANTDELETE,Deletion Failed,falha na exclusão.
MSG_CANNOTFOUND_SUBSCRIPTION,Subscription Not Found,assinatura não encontrada.
MSG_DELETE_SUCCESS,Deleted Successfully,excluído com sucesso.
LBL_BTN_CHANGE_PLAN,Change Plan,plano de mudança.
LBL_TITLE,View Subscription,visualizar assinatura
LBL_TITLE_EDIT,Edit Subscription,editar assinatura
LBL_ADD,Additional Users,usuários adicionais.
LBL_ADD_TITLE,Add More Users,adicionar mais usuários.
LBL_DETAILS,Details,detalhes
LBL_SUBSCRIPTION_NAME,Package Name,nome do pacote.
LBL_AMOUNT_PAID,Amount Paid,valor pago
LBL_SUBSCRIPTION_START_DATE,Package Start Date,data de início do pacote.
LBL_SUBSCRIPTION_END_DATE,Package End Date,data de término do pacote
LBL_NUMBER_OF_USER,Number of User,número de usuários
LBL_REPORT_LOGO,Report With Logo,relatório com logotipo
LBL_DURATION,Duration,duração
LBL_INVOICE,Invoice History,histórico de faturas.
LBL_ANALYSIS,User Analysis,análise do usuário.
LBL_ADD_USER,Input additional user number,inserir número de usuário adicional.
LBL_REMARK,Remarks,observações
LBL_SAVE,Save,salvar
SAVE_RESULT,Save Result,salvar resultado.
SAVE_OK,User added successfully,usuário adicionado com sucesso.
MSG_CANNOT_SUBSCRIPTION,Can not find current subscription,não é possível encontrar a assinatura atual.
MSG_CANNOT_UPDATE,Can not update additional user,não é possível atualizar usuário adicional.
LBL_TITLE,Subscription Plans,planos de assinatura
LBL_CHOOSE_PLAN,Choose Plan,escolher plano
LBL_TITLE_PLAN,Choose from 3 Plan to Subscribe,escolha entre 3 planos para se inscrever.
LBL_SUBSCRIBE,SUBSCRIBE,inscrição
LBL_PLAN,Select Plan,plano selecionado.
LBL_USER,Available user,usuário disponível.
LBL_PRICE_PER_USER,Price/User,preço por usuário
LBL_FEATURE,APPLICATIONS,aplicações
LBL_CONTACT_SALES,Contact Sales,entrar em contato com vendas.
LBL_PAY_NOW,Pay Now,pagar agora.
LBL_PAY,Payment,pagamento
SAVE_RESULT,Save Result,salvar resultado
MSG_UNKNONW_ERROR,Unknow error has occured,ocorreu um erro desconhecido.
SAVE_OK,Subscribe succesfully!,inscrição realizada com sucesso!
MSG_CANNOT_ADDPACKAGE,Cannot add package,não foi possível adicionar o pacote.
MSG_CURRENTPAC_NOTFOUND,Cannot find current package,não é possível encontrar o pacote atual.
MSG_PACKAGE_EXISTS,Cannot save package because it exists in database,não é possível salvar o pacote porque ele já existe no banco de dados.
LBL_DROP_TENANT,Select Organization,selecionar organização
LBL_SELECT_USER_ROLE,Select Role type,selecionar tipo de função
LBL_COUNT,Count,contar
ERROR_MSG, Total selected user count exceeds available user count.,o número total de usuários selecionados excede o número de usuários disponíveis.
LBL_USER_TYPE,Role Type,tipo de função
LBL_ACTION,Action,ação
ERROR_MSG_USER_LIMIT,User limit is exceeded,limite de usuário excedido.
ERROR_MSG_NO_USER,No user added,sem usuário adicionado.
LBL_TITLE,Add Organization,adicionar organização
LBL_EDIT_TITLE,Edit organization,editar organização
LBL_VIEW_TITLE,View organization,ver organização.
LBL_SUB_TITLE,Organization information,informações da organização
LBL_SUB_DOMAIN,Sub Domain,subdomínio
LBL_ORG_LOGO,Organization Logo,logotipo da organização
LBL_PLC_SUB_DOMAIN,Enter sub domain,inserir subdomínio
LBL_FULL_NAME,Full name,nome completo
LBL_PLC_FULL_NAME,Enter first name,inserir primeiro nome.
LBL_FIRST_NAME,First name,nome próprio.
LBL_LAST_NAME,Last name,sobrenome
LBL_PLC_LAST_NAME,Enter last name,digite o sobrenome.
LBL_COMPANY,Organization Name,nome da organização
LBL_WEBSITE,Website,site da internet
LBL_ACCESS_URL,Access URL,url de acesso
LBL_OWNER_PROFILE,Owner Profile,perfil do proprietário
LBL_SEGMENT,Segment,segment em português é segmento.
LBL_COUNTRY,Country,país.
LBL_REGION,Region,região
LBL_CITY,City,cidade
LBL_COUNTRY_CODE,Country Code,código de país
LBL_CONTACT_NUMBER,Contact Number,número de contato
LBL_ADDRESS_TYPE,Address Type,tipo de endereço
LBL_ADDRESS,Address,endereço
LBL_BOXPOST,Boxpost,caixa postal.
LBL_ZIPCODE,Zipcode,código postal.
LBL_PLC_COMPANY,Enter organization name,inserir nome da organização.
LBL_USER_CRED,User credential,credenciais do usuário.
LBL_EMAIL,Email,e-mail
LBL_PLC_EMAIL,Enter email,inserir email.
LBL_PASSWORD,Set password,definir senha.
LBL_PLC_PASSWORD,Enter password,inserir senha.
LBL_CONFIRM_PASSWORD,Confirm password,confirmar senha
LBL_SAVE,Save,salvar
LBL_CANCEL,Cancel,cancelar.
SAVE_RESULT,Save,salvar
PASSWORD_MSG,"Password must meet the following standards:-  Capital letter is Mandatory, Atleast (6) Characters in length, Atleast one special character and number, Please use only @ # _ - special characters","a senha deve cumprir os seguintes critérios: - letra maiúscula obrigatória, pelo menos (6) caracteres de comprimento, pelo menos um caractere especial e número, por favor, use somente os caracteres especiais @ # _ -."
CONFPASS_ERR_MSG,Confirmation password do not match,as senhas de confirmação não correspondem.
MSG_UNKNONW_ERROR,Unknow error has occured,ocorreu um erro desconhecido.
SAVE_OK,Organization is saved succesfully!,a organização foi salva com sucesso!
MSG_CANNOT_ADDTENANT,Cannot add organization,não é possível adicionar organização.
MSG_CURRENTTEN_NOTFOUND,Cannot find current organization,não é possível encontrar a organização atual.
MSG_TENANT_EXISTS,Cannot save organization because it exists in database,não é possível salvar a organização porque ela já existe no banco de dados.
MSG_TENANT_ADDRESS_NOT_FOUND,Cannot find organization address.,não é possível encontrar o endereço da organização.
MSG_DUPLICATE_TENANT_NAME_FOUND,Organization name already exists,o nome da organização já existe.
MSG_DUPLICATE_LOGIN_NAME_FOUND,Find duplicate Login name,encontrar nome de login duplicado.
MSG_DUPLICATE_TENANCY_NAME_FOUND,Find duplicate organization name,encontrar nome de organização duplicado.
MSG_CUSTOM_ERROR_FOUND ,Find custom error,encontrar erro personalizado
MSG_USER_IS_NOT_SAVED,"Organization and contacts saved successfully but,user is not saved","organização e contatos salvos com sucesso, mas o usuário não está salvo."
MSG_USER_EXISTS,User already exists,o usuário já existe.
MSG_CUS_CON_IS_NOT_SAVED,"Organization is saved successfully in FB but,organization contact is not saved","a organização foi salva com sucesso no fb, mas o contato da organização não foi salvo."
MSG_FB_COM_IS_NOT_SAVED,"Organization is saved successfully but,it is not saved in FB","a organização foi salva com sucesso, mas não foi salva no facebook."
MSG_FB_USER_IS_NOT_SAVED,"Organization is saved successfully but,user is not saved in FB","organização foi salva com sucesso, mas o usuário não foi salvo no fb."
MSG_CUSTOMER_INTIAL_SETUP_FAIL,"Organization and User saved successfully but, Intial set up failed","organização e usuário salvos com sucesso, mas a configuração inicial falhou."
MSG_CUSTOMER_REF_SERVICE_FAIL,"Organization and User saved successfully but, business lines is not saved in FB","organização e usuário salvos com sucesso, porém, as linhas de negócio não foram salvas no fb."
MSG_CUSTOMER_REF_SERVICE_TYPE_FAIL,"Organization, User and Business lines saved successfully but, service types is not saved in FB","linhas de organização, usuário e negócios salvas com sucesso, mas os tipos de serviço não foram salvos no fb."
MSG_CUSTOMER_ROLE_NOT_FOUNT_IN_FB,"Organization is saved successfully but, user role not found in FB","organização foi salva com sucesso, mas não foi encontrado o papel do usuário no fb."
MSG_SUBDOMAIN_EXIST,Sub domain already exists,o subdomínio já existe.
MSG_DOMAIN_EXIST,Domain already exists,domínio já existe
MSG_EMAIL_EXIST,Email already exists,o email já existe.
MSG_PASSWD_RESULT,Password Result,resultado da senha
MSG_COMPARE_PASSWD,Confirm password not equal to New password,confirmação de senha não corresponde à nova senha.
MSG_NEW_PASSWD_LENGTH_RULE,Password should have atleast 8 characters in length,a senha deve ter pelo menos 8 caracteres de comprimento.
MSG_NEW_PASSWD_CHAR_RULE,Password should have atleast one character,a senha deve ter pelo menos um caractere.
MSG_NEW_PASSWD_NUMBER_RULE,Password should have atleast one number,a senha deve ter pelo menos um número.
MSG_NEW_PASSWD_CASE_RULE,Password should have atleast one uppercase and one lowercase character,a senha deve ter pelo menos uma letra maiúscula e uma letra minúscula.
MSG_NEW_PASSWD_SPECIAL_CHAR_RULE,password should have atleast one special character,a senha deve ter pelo menos um caractere especial.
MSG_FNAME_REQ,First name is required,o primeiro nome é obrigatório.
MSG_LNAME_REQ,Last name is required,sobrenome é obrigatório.
MSG_SUBDOMAIN_REQ,Sub domain is required,subdomínio é obrigatório.
MSG_DOMAIN_REQ,Domain is required,domínio é obrigatório.
MSG_EMAIL_REQ,Email is required,email é obrigatório.
MSG_EMAIL_INVALID,Email invalid,e-mail inválido.
MSG_ORG_REQ,Organization name is required,o nome da organização é obrigatório.
MSG_PASS_REQ,Password is required,senha é necessária.
MSG_CONFPASS_REQ,Confirm password is required,confirme a senha é obrigatória.
MSG_PASS_STRENGTH,Password strength good,força da senha boa
GET_RESULT,Organization,organização
MSG_NOTFOUND,Can not find organization,não é possível encontrar a organização.
MSG_ADDRESS_REQ,Address is required,endereço é obrigatório.
MSG_ADDRESS_TYPE_REQ,Address type is required,o tipo de endereço é obrigatório.
MSG_REGION_REQ,Region is required,região é obrigatória.
MSG_SEGMENT_REQ,Segment is required,segmento é obrigatório.
MSG_PROFILE_ID_REQ,Profile is required,perfil é obrigatório.
MSG_COUNTRY_ID_REQ,Country is required,país é obrigatório.
MSG_CITY_ID_REQ,City is required,a cidade é obrigatória.
MSG_BOXPOST_REQ,Boxpost is required,boxpost é obrigatório.
MSG_ZIPCODE_REQ,Zipcode is required,código postal é obrigatório.
MSG_ACCESS_REQ,Access URL is required,url de acesso é requerida.
MSG_CONTACT_NUMBER_REQ,Contact Number is required,número de contato é obrigatório.
PLACEHOLDER_WEBSITE,Enter Website,acesse o site.
PLACEHOLDER_ORG_NAME,Enter name,insira o nome.
PLACEHOLDER_DOMAIN,Enter domain,inserir domínio.
PLACEHOLDER_EMAIL,Enter email address,inserir endereço de email.
PLACEHOLDER_OWNER_PROFILE,Select owner profile,selecione o perfil do proprietário.
PLACEHOLDER_SEGEMENT,Select segment,selecionar segmento
PLACEHOLDER_CONTACT_NUMBER,Enter contact number,inserir número de contato.
PLACEHOLDER_ADDRESS,Enter address,inserir endereço.
PLACEHOLDER_ADDRESS_TYPE,Select address type,selecionar tipo de endereço
PLACEHOLDER_BOXPOST,Enter boxpost,caixa de entrada
PLACEHOLDER_ZIPCODE,Enter zipcode,inserir código postal.
PLACEHOLDER_FIRSTNAME,Enter first name,digite o primeiro nome.
PLACEHOLDER_LASTNAME,Enter last name,digite o sobrenome.
BTN_DEPLOY,Deploy,implantar
LBL_ISMFA,Enable Two-Factor,ativar autenticação em dois fatores.
LBL_REMEMBERME,Remember me days,lembre-se de mim dias.
LBL_OTPEXPIRYTIME,OTP Expiry Time,tempo de expiração da otp.
PASSWORD_MSG_FOR_USER,"Password must meet the following standards:-  Capital letter is Mandatory, Atleast (6)   ","a senha deve cumprir os seguintes padrões: letra maiúscula é obrigatória, pelo menos (6) caracteres."
LBL_TITLE,Organization Summary,resumo da organização
LBL_SUB_DOMAIN,Sub Domain,subdomínio
LBL_SEARCH,Search,pesquisar
LBL_TENANCY_NAME,Organization Name,nome da organização
LBL_COMPANY,Organization Name,nome da organização
LBL_ACTIVE,Is Active,está ativo.
LBL_DELETE_MESSAGE,You are about to delete the organization,você está prestes a excluir a organização.
MSG_CANNOTDELETE_TENANT,Organization not found,organização não encontrada
LBL_ADDNEW,Add,adicionar
LBL_ORG_NAME,Organization Name,nome da organização
MSG_SUBSCRIPTION_EXIST,Organization is already subscribed to package,a organização já está inscrita no pacote.
MSG_CANTDELETE,Deletion Failed,falha na exclusão.
LBL_TITLE,Package Summary,resumo da pacote.
LBL_NAME,Package Name,nome do pacote
LBL_ANNUAL_PRICE,Annual Price,preço anual
LBL_AVAILABLE_USER,Available Users,usuários disponíveis.
LBL_MONTHLY_PRICE,Monthly Price,preço mensal
LBL_QUARTERLY_PRICE,Quarterly Price,preço trimestral.
LBL_TOTAL_PRICE,Total Price,preço total
LBL_DELETE_MESSAGE,You are about to delete the subscription,você está prestes a deletar a assinatura.
LBL_CONFIRMDELETION,Confirm deletion,confirmar exclusão.
LBL_SUBSCRIPTION_TITLE,Subscription,assinatura
MSG_CANTDELETE,Deletion Failed,falha na exclusão.
MSG_CANTDELETE_MESSAGE,Can not delete subscription,não é possível excluir a assinatura.
MSG_DELETE_SUCCESS,Deleted Successfully,excluído com sucesso.
MSG_PACKAGE_EXIST,This package is already subscribe by organization,este pacote já está inscrito pela organização.
LBL_ACTIVE,Is Active,está ativo.
LBL_SEARCH,Search,buscar
LBL_TITLE,Add Application,adicionar aplicativo.
LBL_EDIT_TITLE,Edit Application,editar aplicação
LBL_NAME,Application Name,nome do aplicativo
LBL_DESCRIPTION,Description,descrição
LBL_ISACTIVE,Is Active,está ativo
LBL_ICON,Icon Path (relative),caminho do ícone (relativo)
LBL_SAVE,Save,salvar
SAVE_RESULT,Save Result,salvar resultado
MSG_UNKNONW_ERROR,Unknow error has occured,ocorreu um erro desconhecido.
SAVE_OK,Application name is saved succesfully!,o nome do aplicativo foi salvo com sucesso!
MSG_CANNOT_ADDFEATURE,Cannot add application name,não é possível adicionar o nome do aplicativo.
MSG_CURRENTFEA_NOTFOUND,Cannot find current application name,não é possível encontrar o nome da aplicação atual.
MSG_FEATURE_EXISTS,Application name already exists,o nome da aplicação já existe.
MSG_APPL_REQ,Application Name is requied,o nome do aplicativo é obrigatório.
MSG_DESC_REQ,Description is requied,a descrição é necessária.
MSG_PATH_REQ,Icon Path is requied,o caminho do ícone é obrigatório.
LBL_ISMFA,Enable Two-Factor,habilitar autenticação em duas etapas.
LBL_TITLE,Application Summary,resumo da aplicação
LBL_NAME,Name,nome
LBL_DESCRIPTION,Description,descrição
LBL_ISACTIVE,Is Active,está ativo.
LBL_ADD,Add,adicionar
LBL_SEARCH,Search,busca
LBL_FEATURE_TITLE,Application,aplicação
MSG_CANTDELETE,Deletion Failed,falha ao excluir.
MSG_CANTDELETE_MESSAGE,Feature can't delete it.it mapped to {0},a funcionalidade não pode ser excluída. ela está mapeada para {0}.
MSG_CANTDELETE_FEATURE,Application is not found,aplicativo não encontrado.
MSG_DELETE_SUCCESS,Deleted Successfully,excluído com sucesso.
LBL_DELETE_MESSAGE,You are about to delete the application,você está prestes a excluir o aplicativo.
LBL_CONFIRMDELETION,Confirm deletion,confirmar exclusão.
LBL_TITLE_ADD,Add Role,adicionar função
LBL_ROLE_NAME,Role Name,nome da função
LBL_SAVE,Save,salvar
LBL_ROLE_TYPE,Role Type,tipo de função
LBL_ISACTIVE,Is Active,está ativo.
SAVE_RESULT,Save,salvar
MSG_UNKNONW_ERROR,Invalid column names. Re-upload the vendor data according to the sample file attached.,nomes de colunas inválidos. reenvie os dados do fornecedor de acordo com o arquivo de exemplo anexado.
SAVE_OK,role is saved succesfully!,o papel foi salvo com sucesso!
MSG_CANNOT_ADDROLE,Cannot add role,não é possível adicionar função.
MSG_CURRENTROLE_NOTFOUND,Cannot find current role,não é possível encontrar o papel atual.
MSG_ROLE_EXISTS,Cannot save role because it already exists,não é possível salvar a função porque ela já existe.
LBL_TITLE_EDIT,Edit Role,editar função.
LBL_COPY,Copy Permission,permissão de copiar
LBL_ISADMIN,Is Admin Role,é papel de administrador.
LBL_QCROLE,Is Qc Role,papel de controle de qualidade.
EDIT_ROLE.MSG_COPY_ROLE_RIGHT_PERMISSION_NOT_EXIST,Copy Role Permission not exist,permissão da função de cópia não existe.
LBL_TWO_FACTOR_ENBLED,Enable Two-Factor,ativar autenticação em duas etapas
LBL_TITLE,Role Summary,resumo da função
LBL_ROLE_NAME,Role Name,nome da função
LBL_SEARCH,Search,buscar
LBL_ACTIVE,Is Active,está ativo.
LBL_NOITEMS,No item was found,nenhum item foi encontrado.
LBL_NODATA,Oops! No load matching your search were found,desculpe! nenhuma correspondência foi encontrada para a sua pesquisa.
LBL_CONFIRMDELETION,Confirm deletion,confirmar exclusão.
LBL_DELETE_MESSAGE,You are about to delete the role,você está prestes a excluir a função.
MSG_CANTDELETE,Deletion Failed,falha ao excluir
MSG_CANNOTFOUND_ROLE,Role Not Found,papel não encontrado
LBL_ADDNEW,ADD,adicionar
MSG_CANNOT_DELETE,Can not deleted,não pode ser excluído.
MSG_CANNOT_USER_DELETE,Role found to another user so can not deleted,"função atribuída a outro usuário, portanto não pode ser deletada."
LBL_TITLE,Right Summary,resumo correto.
